_id,alta,cantidad,cantidadRestock,ean,familia,iva,margen,nombre,precioCompra,precioVenta,proveedor
62c4df316f6dede80a8a70a7,true,0,20,8413164020456,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CAMPESINAS GREFUSA,0.7,1.2,201564
62c4df316f6dede80a8a70a8,true,0,20,8413164014127,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,TIRAS BACON GREFUSA,0.7,1,110371
62c4df316f6dede80a8a70a9,true,0,20,8413164020449,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,ONDULADAS JAMON GREFUSA,0.84,1.2,201509
62c4df316f6dede80a8a70aa,true,0,20,8413164021187,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,BOOM TIJUANA,0.7,1.2,110372
62c4df316f6dede80a8a70ab,true,0,20,8413164015483,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,GUBLINS X-TREME,0.7,1.1,110830
62c4df316f6dede80a8a70ac,true,0,20,8413164001844,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,GUBLINS BBQ,0.7,1.1,100318
62c4df316f6dede80a8a70ad,true,0,20,8413164012963,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CONOS GREFUSA,0.7,1,109679
62c4df316f6dede80a8a70ae,true,0,20,8413164001851,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,STICKS KETCHUP Y QUESO,0.7,1,107605
62c4df316f6dede80a8a70af,true,0,20,8410199013705,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,PAPAS SANTA ANA,0.73,1,
62c4df316f6dede80a8a70b0,true,0,20,8410199021120,GENERICA,10,20,LAYS PUNTO DE SAL,0.98,1.3,
62c4df316f6dede80a8a70b1,true,0,20,8413164012871,GENERICA,10,20,NACHOS GREFUSA,0.76,1,
62c4df316f6dede80a8a70b2,true,0,20,8410199020734,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CHETOS STIICKS,0.86,1.2,
