NOMBRE,FAMILIA,PRECIO_COMPRA,PRECIO_VENTA,IVA,MARGEN,EAN,ALTA,CANTIDAD,CANTIDAD_RESTOCK,PROVEEDOR,,,,,,,,,,,,,,
EMBRAU 33 CL SIN,BEBIDAS,0.19,0.29,21,20,7611612501729,1,0,20,245032,,,,,,,,,,,,,,0
SAN MIGUEL ESPECIAL 33 CL,BEBIDAS,0.31,0.42,21,20,8410655000010,1,0,20,500445,,,,,,,,,,,,,,0
SAN MIGUEL SIN 33 CL,GENERICA,0.34,0.49,21,20,8410655006142,1,0,20,,,,,,,,,,,,,,,0
MAHOU TOSTADA SIN 33 CL,GENERICA,0.45,0.65,21,20,8411327002745,1,0,20,,,,,,,,,,,,,,,0
BUDWEISER 33 CL,GENERICA,0.52,0.75,21,20,5014379003161,1,0,20,,,,,,,,,,,,,,,0
SANDY SABOR LIMON 33CL CRUZCAMPO,BEBIDAS,0.41,0.59,21,20,8411090419054,1,0,20,,,,,,,,,,,,,,,0
AMSTEL RADLER 33 CL,BEBIDAS,0.32,0.59,21,20,8410569615614,1,0,20,522201,,,,,,,,,,,,,,0
HEINEKEN ORIGINAL 33 CL,BEBIDAS,0.44,0.65,21,20,87120158,1,0,20,500406,,,,,,,,,,,,,,0
CORONITA BOTELLIN 35.5 CL,BEBIDAS,0.75,1.25,21,20,7501064191398,1,0,20,500460,,,,,,,,,,,,,,0
DESPERADOS BOTELLIN 33CL,BEBIDAS,0.72,1.32,21,20,3155930006015,1,0,20,522047,,,,,,,,,,,,,,0
EMBRAU 25 CL PACK DE 6,BEBIDAS,1.05,1.59,21,20,7611612502009,1,0,20,245034,,,,,,,,,,,,,,0
ALHAMBRA CERVEZA RESERVA BOTELLIN 33CL,BEBIDAS,4.35,6.5,21,20,8413681021820,1,0,20,522122,,,,,,,,,,,,,,0
AMSTEL BOTELLIN 25 CL PACK 6,BEBIDAS,1.5,2.4,21,20,8410569005637,1,0,20,500412,,,,,,,,,,,,,,0
TURIA BOTELLIN 6 BOTELLAS,BEBIDAS,2.28,3.36,21,20,8413194093840,1,0,20,523319,,,,,,,,,,,,,,0
ANNA DE CODORNIU CAVA BRUT NATURE,GENERICA,5.85,8.49,21,20,8410013006920,1,0,20,,,,,,,,,,,,,,,0
CAVA ENTERIZO BRUT NATURE,BEBIDAS,2.5,4.45,21,20,8420202000813,1,0,20,103061,,,,,,,,,,,,,,0
SIDRA EL GAITERO,GENERICA,1.37,1.99,21,20,8411079391012,1,0,20,,,,,,,,,,,,,,,0
EL MIRACLE TEMPRANILLO,BEBIDAS,2.29,3.5,21,20,8410310603990,1,0,20,945126,,,,,,,,,,,,,,0
ENTERIZO CRIANZA 2018,BEBIDAS,1.5,2.49,21,20,8420202020378,1,0,20,520241,,,,,,,,,,,,,,0
PAULUS RIOJA,BEBIDAS,1.1,2.59,21,20,9004380126704,1,0,20,103471,,,,,,,,,,,,,,0
HOYA DE CADENAS RESERVA TEMPRANILLO,BEBIDAS,2.35,3.89,21,20,8410310085628,1,0,20,520251,,,,,,,,,,,,,,0
RAMON BILBAO CRIANZA 2017 RIOJA,BEBIDAS,5.6,7.9,21,20,8413423111086,1,0,20,522060,,,,,,,,,,,,,,0
FAUSTINO RIVERO RESERVA DEL 2015,BEBIDAS,1.5,2.89,21,20,8412176101061,1,0,20,101542,,,,,,,,,,,,,,0
VALTIER RESERVA 2015 UTIEL REQUENA,BEBIDAS,1.5,2.8,21,20,8412176100200,1,0,20,101544,,,,,,,,,,,,,,0
MARINA ALTA VINO BLANCO 75 CL.,BEBIDAS,3.3,4.85,21,20,8421216046118,1,0,20,522002,,,,,,,,,,,,,,0
FAUSTINO RIVERO VINO BLANCO VERDEJO 75 C,BEBIDAS,1.35,2.4,21,20,8412176000531,1,0,20,103066,,,,,,,,,,,,,,0
CASTILLO DE LIRIIA BLANCO,BEBIDAS,1.78,2.6,21,20,8410310025037,1,0,20,520243,,,,,,,,,,,,,,0
ENTERIZO MACABEO BLANCO,BEBIDAS,1.2,1.95,21,20,8420202020170,1,0,20,520222,,,,,,,,,,,,,,0
BARBADILLO BLANCO,BEBIDAS,2.65,3.69,21,20,8410061210348,1,0,20,520913,,,,,,,,,,,,,,0
ENTERIZO RESERVA COVIðAS,BEBIDAS,2.1,3.2,21,20,8420202040376,1,0,20,101554,,,,,,,,,,,,,,0
ENTERIZO VINO TINTO BOBAL TEMPRANILLO,BEBIDAS,1.2,1.95,21,20,8420202020477,1,0,20,100554,,,,,,,,,,,,,,0
VIGOROSO BLANCO,BEBIDAS,0.87,1.49,21,20,8437014722154,1,0,20,101870,,,,,,,,,,,,,,0
LAMBRUSCO RESERVA ROSADO,GENERICA,2.06,2.99,21,20,4006477005124,1,0,20,,,,,,,,,,,,,,,0
CASTILLO DE LIRIA ROSADO,BEBIDAS,1.78,2.5,21,20,8410310025013,1,0,20,520242,,,,,,,,,,,,,,0
SANDARA BLANCO ESPUMANTE,BEBIDAS,2.45,4.25,21,20,8410310610684,1,0,20,101335,,,,,,,,,,,,,,0
PEÐASCAL VINO ROSADO 75 CL.,BEBIDAS,2.45,3.48,21,20,8410849000178,1,0,20,520947,,,,,,,,,,,,,,0
CASTILLO DE LIRIA BOBAL SHIRAZ TINTO,BEBIDAS,1.78,2.6,21,20,8410310025020,1,0,20,520241,,,,,,,,,,,,,,0
VALDONDIEGO TINTO,GENERICA,2.05,2.98,21,20,8437002368319,1,0,20,,,,,,,,,,,,,,,0
DON GARCIA VINO BLANCO BRIK 1 L.,BEBIDAS,0.64,0.97,21,20,8410261033112,1,0,20,520974,,,,,,,,,,,,,,0
DON GARCIA VINO TINTO BRIK 1 L.,BEBIDAS,0.64,0.97,21,20,8410261031187,1,0,20,520976,,,,,,,,,,,,,,0
DON SIMON SANGRIA 1L.,BEBIDAS,0.96,1.43,21,20,8410261151625,1,0,20,520804,,,,,,,,,,,,,,0
VIGOROSO TINTO,BEBIDAS,0.84,1.49,21,20,8437002757496,1,0,20,101869,,,,,,,,,,,,,,0
DON SIMON TINTO DE VERANO LIMON 1.5 L,BEBIDAS,0.8,1.43,21,20,8410261152011,1,0,20,456007,,,,,,,,,,,,,,0
DON SIMON TINTO DE VERANO CLASICO 1.5 L,BEBIDAS,0.95,1.43,21,20,8410261152004,1,0,20,456001,,,,,,,,,,,,,,0
TOCIRIZOS BBQ,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.64,1.25,10,20,8436532895227,1,0,20,80018,,,,,,,,,,,,,,0
GREFUTUBO,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.66,1,10,20,8413164009079,1,0,20,107147,,,,,,,,,,,,,,0
PIPAS MAXI-TIJUANA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),1.05,1.65,10,20,8413164016916,1,0,20,111282,,,,,,,,,,,,,,0
TOCIRIZOS SAL,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.66,1.25,10,20,8436532895210,1,0,20,80017,,,,,,,,,,,,,,0
GREFUSA PIPAS MAXI-SAL,SNACKS ( PEPSICO. GREFUSA DULCESOL ),1.05,1.5,10,20,8413164016879,1,0,20,111261,,,,,,,,,,,,,,0
PIPONAZO ORIGINAL 160 GR GREFUSA MAXI AH,SNACKS ( PEPSICO. GREFUSA DULCESOL ),1.05,1.65,10,20,8413164018538,1,0,20,111280,,,,,,,,,,,,,,0
PIPONAZO ORIGINAL 95 GR GREFUSA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.7,1.1,10,20,8413164016992,1,0,20,107385,,,,,,,,,,,,,,0
MISTER CORN 5 MIX CLASSIC GREFUSA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.7,1.2,10,20,8413164012932,1,0,20,110089,,,,,,,,,,,,,,0
MISTER CORN ORIGINAL,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.7,1,10,20,8413164002315,1,0,20,110088,,,,,,,,,,,,,,0
TEXICOS,GENERICA,1.78,2.35,10,20,8410564035677,1,0,20,,,,,,,,,,,,,,,0
COCKTEL SNACK,GENERICA,1.78,2.35,10,20,8410564035219,1,0,20,,,,,,,,,,,,,,,0
BOCAFRITS,GENERICA,1.78,2.35,10,20,8410564034205,1,0,20,,,,,,,,,,,,,,,0
MIX BARBACOA,GENERICA,1.14,1.5,10,20,8413164015599,1,0,20,,,,,,,,,,,,,,,0
MIX PICANTE,GENERICA,1.14,1.5,10,20,8413164015605,1,0,20,,,,,,,,,,,,,,,0
CACAHUETE TOSTADO SAL,GENERICA,0.91,1.2,10,20,8435450722585,1,0,20,,,,,,,,,,,,,,,0
CACAHUETE TOSTADO SIN SAL,GENERICA,0.91,1.2,10,20,8435450722622,1,0,20,,,,,,,,,,,,,,,0
COCTELEO ORIGINAL,GENERICA,1.78,2.35,10,20,8410564011145,1,0,20,,,,,,,,,,,,,,,0
COCTELEO CHILI,GENERICA,1.78,2.35,10,20,8410564010537,1,0,20,,,,,,,,,,,,,,,0
CACAO PELADO,GENERICA,0.76,1,10,20,8435450722578,1,0,20,,,,,,,,,,,,,,,0
CAMPESINAS GREFUSA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.7,1.2,10,20,8413164020456,1,0,20,201564,,,,,,,,,,,,,,0
TIRAS BACON GREFUSA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.7,1,10,20,8413164014127,1,0,20,110371,,,,,,,,,,,,,,0
ONDULADAS JAMON GREFUSA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.84,1.2,10,20,8413164020449,1,0,20,201509,,,,,,,,,,,,,,0
BOOM TIJUANA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.7,1.2,10,20,8413164021187,1,0,20,110372,,,,,,,,,,,,,,0
